#,Name,Location,Type,TypeExt,Index,Description
0.01,patient(+),0;1,POINTER,,B,This is the name of the patient.
54,occurrence/no procedure,37;1,BOOLEAN,,,"This indicates that this case was a occurrence, not related to a surgical procedure."
55,indications for operations,40;0,WORD-PROCESSING,,,This is a brief statement of the indications for this operative procedure. The information you enter here prints automatically as the first part of the operative summary.
56,pre-admission testing,35;2,BOOLEAN,,,This indicates whether pre-admission testing was complete. It will be reflected on the Schedule of Operations for outpatients.
57,esu coag range,.7;1,FREE TEXT,,,"This is the power setting range on the Electrosurgical Unit during coagulation. This information is optional, but may be useful in documenting the case."
58,esu cutting range,.7;2,FREE TEXT,,,"This is the power setting range on the Electrosurgical Unit during cutting. This information is optional, but may be useful in documenting the case."
59,operative findings,38;0,WORD-PROCESSING,,,This field contains a brief description of the operative findings which appears on the Tissue Examination Report.
60,brief clin history,39;0,WORD-PROCESSING,,,This field contains a brief clinical history for this patient. It will appear on the Tissue Examination Report.
61,diagnostic results confirm by,.6;11,POINTER,,,"This is the name of the person responsible for verifying that the essential diagnostic procedure requirements, as per medical center policy, are available."
62,gastric output,.2;6,NUMERIC,,,"This is the gastric output during the operative procedure. It is recorded in cc's, and appears on the Nurse Intraoperative Report."
63,iv started by,.3;5,POINTER,,,This is the name of the person that started the IV for this operative procedure.
64,cultures,41;0,WORD-PROCESSING,,,These are the names of cultures sent to the laboratory for examination.
65,surgery position,42;0,MULTIPLE,,,This is the position in which the patient is placed for this operative procedure. This information will appear on the Nurse Intraoperative Report.
66,planned prin diagnosis code,34;2,POINTER,,,This is the planned principal postoperative ICD9 diagnosis code assigned by the clinician.
67,cancellation avoidable,30;2,BOOLEAN,,,This field contains a set of codes used to flag a cancellation as being avoidable or unavoidable. It is used when determining the percentage of avoidable cancellations.
68,scheduled procedure,SP;1,FREE TEXT,,,This field contains the scheduled (or original) principal procedure for this case. It will be compared to the actual procedure completed.
69,coding verifier,VER;2,POINTER,,,This is the person who last updated procedure and/or diagnosis descriptions and/or codes for this case using the Update/Verify Procedure/Diagnosis Codes [SRCODING EDIT] option. This field is updated automatically by the option when information is changed.
70,cancelled by,30;3,POINTER,,,This is the name of the person who cancelled this surgical case. This information is automatically entered when a case is cancelled.
71,time out verified,VER;3,SET OF CODES,,,"This field refers to the completion of a ""Time Out"" verification process prior to the start of the procedure. A designated member of the OR team states the name of the patient, the procedure to be performed, the location of the site (including laterality if applicable), and the specifications of the implant to be used (if applicable). At a minimum, this process must include the surgeon the circulating nurse, and the anesthesia provider. This practice is further defined by local hospital policy. If entered ""NO"", a justification should be documented in the Time Out Verified Comments."
72,preoperative imaging confirmed,VER;4,SET OF CODES,,,"This field refers to the completion of the verification process for the presence of relevant imaging data to confirm the operative site for the correct patient are available, properly labeled and properly presented, and verified by two members of the operating team prior to the start of the procedure. This practice is further defined by local hospital policy. If entered ""NO"", a justification should be documented in the Imaging Confirmed Comments."
73,marked site confirmed,VER;5,SET OF CODES,,,"The site can and must be marked in almost all cases. Mucous membranes and other sites not on the skin cannot be marked using standard methods and do not need to be. See applicable VHA Handbooks and Directives for further information and guidance. If entered ""NO"", a justification should be documented in the Marked Site Comments."
75,tov timestamp,VERD;3,DATE-TIME,,,This field is updated whenever the TIME OUT VERIFIED field (#71) is entered or changed.
76,imag timestamp,VERD;4,DATE-TIME,,,This field is updated whenever the PREOPERATIVE IMAGING CONFIRMED field (#72) is entered or changed.
77,site mark timestamp,VERD;5,DATE-TIME,,,This field is updated whenever the MARKED SITE CONFIRMED field (#73) is entered or changed.
80,spd comments,80;0,WORD-PROCESSING,,,This word-processing field contains any information for SPD that cannot be entered elsewhere. These comments will be sent to SPD via the Surgery/CoreFLS interface.
81,dynamed notified,31;10,BOOLEAN,,,"YES indicates at least one notification has been sent to DynaMed by way of the CoreFLS interface. A null value or zero indicates no notification has been sent. The first notification sent to DynaMed will be a NEW APPOINTMENT notification. Subsequent notifications will be for edit, cancel or delete notifications, as appropriate."
82,time out verified comments,82;0,WORD-PROCESSING,,,"This word-processing field contains comments related to the TIME OUT VERIFIED field. The information entered in this field clarifies entry that is entered as ""NO""."
83,imaging confirmed comments,83;0,WORD-PROCESSING,,,"This word-processing field contains comments related to the PREOPERATIVE IMAGING CONFIRMED field. The information entered in this field clarifies entry that is entered as ""NO""."
84,marked site comments,84;0,WORD-PROCESSING,,,"This word-processing field contains comments related to the MARKED SITE CONFIRMED field. The information entered in this field clarifies entry that is entered as ""NO""."
100,order number,0;14,POINTER,,,This is the pointer to the ORDER file (100). It will be created when a case is requested.
101,staff/resident,.1;3,SET OF CODES,,,This determines whether the surgeon was a resident or staff. It will be used for categorizing procedures in the Annual Report of Surgical Procedures.
102,reason for no assessment,RA;7,SET OF CODES,,,"This is the reason why no assessment was entered for this particular surgical case. It should be entered if any major procedure was excluded from the risk assessment module. 0 - Non-surgeon performed the procedure 1 - Patient did NOT receive general, spinal, or epidural anesthesia 2 - Number of surgical cases entered into the Surgical Risk Study exceeded 36 over an 8 day time frame 3 - Number of TURPs or TURBTs exceeded 5 cases over an 8 day time frame 4 - Study exclusion criteria prohibits patient entry 6 - Surgical Clinical Nurse Reviewer was on Annual Leave 8 - Case was a concurrent case, secondary to an assessed primary case 9 - Number of hernias exceeded 5 cases over an 8 day time frame"
103,anesthetist category,.3;8,SET OF CODES,,,This field holds the category of the principal anesthetist which is used on the Anesthesia AMIS report to enumerate the number of anesthetics administered by each category.
118,non-or procedure,NON;1,BOOLEAN,,,This field is a flag signifying this case is a non-OR surgical procedure.
119,non-or location,NON;2,POINTER,,,This is the location (file 44) where this non-OR procedure was performed.
120,date of procedure(+),NON;3,DATE-TIME,,,This is the date that the non-OR procedure was performed. The date of procedure must be entered for all non-OR cases.
121,time procedure began,NON;4,DATE-TIME,,,This is the date and time that the non-OR procedure began.
122,time procedure ended,NON;5,DATE-TIME,,,This is the date and time that all the procedures for this non-OR case are complete.
123,provider(+),NON;6,POINTER,,,This is the person who performs the major portion of the principal non-OR procedure. This field is required for several reports.
124,attend provider,NON;7,POINTER,,,This is the name of the attending staff provider responsible for this case. This information appears on several reports.
125,medical specialty(+),NON;8,POINTER,,,This is the medical specialty credited for doing this non-OR procedure. Many reports are sorted by the medical specialty. This field should be entered prior to completion of this non-OR procedure.
126,procedure occurrence,43;0,MULTIPLE,,,"This is a occurrence that is related to a non-O.R. procedure. If there are not any non-O.R. procedure occurrences, this field should be left blank. Do not enter 'NO' or 'NONE'."
127,sequential compression device,.7;3,BOOLEAN,,,This determines whether a sequential compression device was used.
128,laser type,.7;8,FREE TEXT,,,"This determines whether a laser was used during this procedure. If applicable, enter the type of laser used during this surgical procedure."
129,laser unit,44;0,MULTIPLE,,,"These are the laser units, if any, used during this procedure."
130,cell saver,45;0,MULTIPLE,,,"These are the cell savers, if any, used during this procedure."
131,device(s),46;1,FREE TEXT,,,This field documents devices used in this procedure that are not documented elsewhere.
200,operations this admission,200;51,NUMERIC,,,"This is the total number of surgical procedures, prior to the index or principal operation, which required the patient to be taken to the operating room for any type of surgical intervention during this hospital admission. Include all procedures whether or not they are part of the inclusion/exclusion criteria."
201,redo procedure,200;53,SET OF CODES,,,This determines whether the principal operative procedure was a reoperation in the same anatomic location for the same purpose as the first operation regardless of the length of time from the original surgical date.
202,current smoker,200;3,SET OF CODES,,,"NSQIP Definition (2004): If the patient has smoked cigarettes in the year prior to admission for surgery enter YES. Do not include patients who smoke cigars or pipes or use chewing tobacco. CICSP Definition (2004): Indicate the patient's smoking status from information from the patient, or the chart, that best describes the patient's use of tobacco in any form (pipe, cigar, cigarette, tobacco chew). If more than one representation is found, please record according to the most conservative (most recent) quit date: 1 = never a smoker 2 = smoking within two weeks prior to surgery 3 = smoking within 2 weeks to 3 months prior to surgery 4 = remote smoker (more than 3 months prior to surgery)"
202.1,pack/years,208;9,FREE TEXT,,,"NSQIP Definition (2004): If the patient has ever been a smoker, enter the total number of pack/years of smoking for this patient. Pack-years are defined as the number of packs of cigarettes smoked per day times the number of years the patient has smoked. If the patient has never been a smoker, enter ""0"". If pack-years are >200, just enter 200. If smoking history cannot be determined, enter ""NS"". The possible range for number of pack-years is 0 to 200. If the chart documents differing values for pack year cigarette history, or ranges for either packs/day or number of years patient has smoked, select the highest value documented, unless you are confident in a particular documenter's assessment (e.g., preoperative anesthesia evaluation often includes a more accurate assessment of this value because of the impact it may have on the patient's response to anesthesia)."
203,history of copd,200;11,BOOLEAN,,,"NSQIP Definition (2004): Chronic obstructive pulmonary disease (such as emphysema and/or chronic bronchitis) resulting in any one or more of the following: - Functional disability from COPD (e.g., dyspnea, inability to perform ADLs) - Hospitalization in the past for treatment of COPD - Requires chronic bronchodilator therapy with oral or inhaled agents (see list of bronchodilators below) - An FEV1 of <75% of predicted on pulmonary function testing Do not include patients whose only pulmonary disease is acute asthma, an acute and chronic inflammatory disease of the airways resulting in bronchospasm. Do not include patients with diffuse interstitial fibrosis or sarcoidosis. (This list may not be all-inclusive. Please check your hospital formulary) Bronchodilators --------------- Atrovent Rynatuss Uni-Dur Combivent Serevent Uniphyll Alupent Ventolin Cafcit Brethine Volmax Lufyllin Maxair Xopenex Theo-Dur Proventil Aerolate CICSP Definition (2004): Indicate if the patient has chronic obstructive pulmonary disease (COPD) resulting in functional disability, and/or hospitalization, and/or requiring chronic bronchodilator therapy, and/or an FEV1 of less than 75% of predicted."
204,ventilator dependent,200;10,SET OF CODES,,,NSQIP Definition (2004): A preoperative patient requiring ventilator-assisted respirations at any time during the 48 hours preceding surgery. This does not include the treatment of sleep apnea with CPAP.
205,prior mi,206;14,SET OF CODES,,,This determines whether the patient has a history of non-Q wave or Q wave myocardial infarction as diagnosed in his or her medical records. Select the appropriate category.
206,vascular (y/n),200;40,SET OF CODES,,,This determines whether the patient has any vascular problems.
207,congestive heart failure,206;19,SET OF CODES,,,"CICSP Definition (2004): Indicate whether the patient has congestive heart failure if the patient chart or patient self-report indicates a history of congestive heart failure. Congestive heart failure is defined as the inability of the heart to pump a sufficient quantity of blood to meet the metabolic needs of the body or can do so only at increased ventricular filling pressure. Common manifestations are identified: From the history: 1) Abnormal limitation in exercise tolerance due to dyspnea, fatigue or angina. 2) Orthopnea (dyspnea on lying supine). 3) Paroxysmal nocturnal dyspnea (PND) - awakening from sleep with dyspnea which is relieved by assuming an upright posture). From the physical examination: 4) Increased jugular venous pressure. 5) Pulmonary rales on physical examination. From the chest x-ray: 6) Cardiomegaly, and 7) Pulmonary vascular engorgement. The New York Heart Association functional classification is commonly used as a subjective assessment of the severity of congestive heart failure. If none or only one of the above manifestations has been present, or congestive heart failure is not mentioned as an active problem in the 30 days before surgery, indicate Class I. Any mention of above manifestations would normally require the indication of a stage other than Class I. If two or more of the above manifestations are present, or if congestive heart failure is mentioned as an active problem in the 30 days before surgery, indicate as either Class II, III or IV. Indicate the one most appropriate response: Class I - cardiac disease, but no symptoms of abnormal fatigue, dyspnea or angina. (NOTE: patients who have never had symptoms are automatically Class I.) Class II - slight limitation of physical activity by fatigue, dyspnea, or angina. The patient gets unusual fatigue, dyspnea, and/or angina only upon performing more strenuous activities, such as climbing two or more flights of stairs without stopping. Class III - marked limitation of physical activity by fatigue, dyspnea, or angina. The patient gets unusual fatigue, dyspnea, and/or angina upon performing ordinary activities, such as walking several blocks or climbing a flight of stairs. Class IV - symptoms at rest and/or inability to carry out any physical activity without symptoms of fatigue, dyspnea or angina. The patient has symptoms of unusual fatigue, dyspnea, and/or angina at rest or when performing minimal activity, such as walking across the room."
208,hypertension requiring meds,200;36,SET OF CODES,,,"NSQIP Definition (2004): The patient has a persistent elevation of systolic blood pressure >140 mm Hg or a diastolic blood pressure >90 mm Hg or requires an antihypertensive treatment (e.g., diuretics, beta blockers, ACE inhibitors, calcium channel blockers) at the time the patient is being considered as a candidate for surgery which should be no longer than 30 days prior to surgery. Hypertension must be documented in the patient's chart."
209,cardiomegaly,206;6,BOOLEAN,,,CICSP Definition (2004): Indicate if the patient has generalized cardiac enlargement of any or all of the cardiac chambers by standard or portable chest x-ray within 30 days preceding surgery.
210,central nervous system (y/n),200;18,SET OF CODES,,,This determines whether the patient has a history of illness related to the central nervous system (CNS).
211,currently on dialysis,200;39,SET OF CODES,,,"NSQIP Definition (2004): Acute or chronic renal failure requiring periodic peritoneal dialysis, hemodialysis, hemofiltration, or hemodiafiltration."
212,ascites,200;15,SET OF CODES,,,"NSQIP Definition (2004): The presence of fluid accumulation in the peritoneal cavity noted on physical examination, abdominal ultrasound, or abdominal CT/MRI within 30 days prior to the operation."
213,esophageal varices,200;16,SET OF CODES,,,NSQIP Definition (2004): Esophageal varices are engorged collateral veins in the esophagus that bypass a scarred liver to carry portal blood to the superior vena cava. A sustained increase in portal pressure results in esophageal varices that are most frequently demonstrated by direct visualization at esophagoscopy. Esophageal varices must be present preoperatively and must be documented on a recent EGD or CT scan performed within 6 months prior to the surgical procedure.
214,pgy of primary surgeon,200;52,NUMERIC,,,NSQIP Definition (2004): Enter the number of surgical residency postgraduate years of the primary surgeon (1-12). Enter 0 if the primary surgeon is a staff/attending surgeon and not a surgical resident or fellow. PGYs greater than 12 should be reported as '12'.
215,weight loss > 10%,200;48,SET OF CODES,,,"NSQIP Definition (2004): A >10% weight decrease in body weight in the six month interval immediately preceding surgery as manifested by serial weights in the chart, as reported by the patient, or as evidenced by change in clothing size or severe cachexia. Exclude patients who have intentionally lost weight as part of a weight reduction program."
216,bleeding disorders,200;49,SET OF CODES,,,"NSQIP Definition (2004): Any condition that places the patient at risk for excessive bleeding requiring hospitalization due to a deficiency of blood clotting elements (e.g., vitamin K deficiency, hemophilia, thrombocytopenia, chronic anticoagulation therapy that has not been discontinued prior to surgery). Do not include the patient on chronic aspirin therapy. Following is a list of medications that impact the patient's risk for bleeding. Please utilize the associated time frames for discontinuation of medication to determine your answer to this variable. Medication Time Frame ---------- ---------- Coumadin (Warfarin) 4 days Heparin (IV only) 4 hours Plavix (Clopidogrel) 10 days Lovenox (Enoxaparin) 12 hours Reopro (Abciximab) 9 days Integrilin (Eptifibatide) 2 days Agrylin (Anagrelide) 3 days Fragmin (Dalteparin) 24 hours Aggrastat (Tirofiban) 4 hours"
217,transfusion > 4 rbc units,200;50,SET OF CODES,,,NSQIP Definition (2004): Preoperative loss of blood necessitating a minimum of 5 units of whole blood/packed red cells transfused during the 72 hours prior to surgery including any blood transfused in the emergency room.
218,open wound,200;46,SET OF CODES,,,"NSQIP Definition (2004): Evidence of an open wound that communicates to the air by direct exposure, with or without cellulitis or purulent exudate. This does not include osteomyelitis or localized abscesses. The wound must communicate to the air by direct exposure."
218.1,preoperative sepsis,206;8,SET OF CODES,,,"NSQIP Definition (2004): The body's response to insult can be documented as one of three levels with each successive level building on the previous level. You should only document the highest level identified using the criteria below. 1. SIRS (Systemic Inflammatory Response Syndrome): SIRS is a widespread inflammatory response to a variety of severe clinical insults. This syndrome is clinically recognized by the presence of two or more of the following: - Temp >38 degrees C or <36 degrees C - HR >90 bpm - RR >20 breaths/min or PaCO2 <32 mmHg(<4.3 kPa) - WBC >12,000 cell/mm3, <4000 cells/mm3, or >10% immature (band) forms - Anion gap acidosis (this is defined by [sodium + potassium] - [chloride + CO2]. If this number is greater than 12, then an anion gap acidosis is present. 2. Sepsis: Sepsis is the systemic response to infection. Report this variable if the patient has clinical signs and symptoms of SIRS listed above and one of the following: - positive blood culture - clinical documentation of purulence or positive culture from any site thought to be causative 3. Severe Sepsis/Septic Shock: Sepsis is considered severe when it is associated with organ and/or circulatory dysfunction. Report this variable if the patient has the clinical signs and symptoms of SIRS or sepsis AND documented organ and/or circulatory dysfunction. Examples of organ dysfunction include: oliguria, acute alteration in mental status, acute respiratory distress. Examples of circulatory dysfunction include: hypotension, requirement of inotropic or vasopressor agents."
219,preoperative hemoglobin,201;20,FREE TEXT,,,"CICSP Definition (2004) Indicate the patient's hemoglobin result (g/dl) preoperatively evaluated closest to surgery but not greater than 30 days before surgery. Entering ""NS"" for ""No Study/Unknown"" is not allowed."
220,previous ptca procedure,200;32,SET OF CODES,,,NSQIP Definition (2004): The patient has undergone percutaneous transluminal coronary artery angioplasty at any time. This does not include valvuloplasty procedures.
221,preoperative cpk,201;6,NUMERIC,,,This is the result of the preoperative creatinine phosphokinase (CPK) test.
222,preoperative mb band,201;7,NUMERIC,,,This is the value of the preoperative methyline blue (MB) band. Your answer must be between 0 and 50.
223,preoperative serum creatinine,201;4,FREE TEXT,,,"This is the serum creatinine result (mg/dl) most closely preceding surgery. Data input must be 1 to 4 numeric characters in length which may include a prefix of a less than or greater than sign ""<"" or "">"". Entering ""NS"" for ""No Study"" is allowed for NSQIP assessments. CICSP Definition (2004) Indicate the patient's Serum Creatinine result (mg/dl) preoperatively evaluated closest to surgery but not greater than 30 days before surgery. Entering ""NS"" for ""No Study/Unknown"" is not allowed."
224,preoperative bun,201;5,FREE TEXT,,,"This is the result of the preoperative Blood Urea Nitrogen (BUN) test. Data input must be 1 to 5 numeric characters in length which may include a prefix of a less than or greater than sign ""<"" or "">"". Entering ""NS"" for ""No Study"" is also allowed."
225,preoperative serum albumin,201;8,FREE TEXT,,,"This is the result of the preoperative serum albumin test. Data input must be 1 to 4 numeric characters in length which may include a prefix of a less than or greater than sign ""<"" or "">"". Entering ""NS"" for ""No Study"" is allowed for NSQIP assessments. CICSP Definition (2004) Indicate the patient's serum albumin result (g/dl) preoperatively evaluated closest to surgery but not greater than 30 days before surgery. Entering ""NS"" for ""No Study/Unknown"" is also allowed."
226,preoperative sgpt,201;10,NUMERIC,,,This is the result of the preoperative serum glutamic pyruvic transaminase (SGPT) test.
227,preoperative sgot,201;11,FREE TEXT,,,"This is the result of the preoperative serum glutamic oxaloacetic (SGOT) test. Data input must be 1 to 5 numeric characters in length which may include a prefix of a less than or greater than sign ""<"" or "">"". Entering ""NS"" for ""No Study"" is also allowed."
228,preoperative total bilirubin,201;9,FREE TEXT,,,"This is the result of the preoperative total bilirubin test. Data input must be 1 to 5 numeric characters in length which may include a prefix of a less than or greater than sign ""<"" or "">"". Entering ""NS"" for ""No Study"" is also allowed."
229,preoperative alk phosphatase,201;12,FREE TEXT,,,"This is the result of the preoperative alkaline phosphatase test. Data input must be 1 to 5 numeric characters in length which may include a prefix of a less than or greater than sign ""<"" or "">"". Entering ""NS"" for ""No Study"" is also allowed."
230,preoperative wbc,201;13,FREE TEXT,,,"This is the result of the preoperative white blood count (WBC). Data input must be 1 to 4 numeric characters in length which may include a prefix of a less than or greater than sign ""<"" or "">"". Entering ""NS"" for ""No Study"" is also allowed."
231,preoperative platelet count,201;15,FREE TEXT,,,"This is the result of the preoperative platelet count. Data input must be 1 to 5 numeric characters in length which may include a prefix of a less than or greater than sign ""<"" or "">"". Entering ""NS"" for ""No Study"" is also allowed."
232,preoperative pt,201;17,FREE TEXT,,,"This is the result of the preoperative prothombin time (PT). Data input must be 1 to 4 numeric characters in length which may include a prefix of a less than or greater than sign ""<"" or "">"". Entering ""NS"" for ""No Study"" is also allowed."
233,preoperative ptt,201;16,FREE TEXT,,,"This is the result of the preoperative partial thromboplastin time (PTT). Data input must be 1 to 5 numeric characters in length which may include a prefix of a less than or greater than sign ""<"" or "">"". Entering ""NS"" for ""No Study"" is also allowed."
234,preoperative hematocrit,201;14,FREE TEXT,,,"This is the result of the preoperative hematocrit test. Data input must be 1 to 4 numeric characters in length which may include a prefix of a less than or greater than sign ""<"" or "">"". Entering ""NS"" for ""No Study"" is also allowed."
235,assessment status,RA;1,SET OF CODES,,,"This is the current status of the surgery risk assessment. When creating a new assessment, the status will automatically be entered as 'INCOMPLETE'. Upon completion of the assessment, this field will be updated to 'COMPLETED'. After the assessment is transmitted, this field will be automatically updated to 'TRANSMITTED'."
236,height,206;1,FREE TEXT,,,"NSQIP Definition (2004): Report the patient's most recent height documented in the medical record in either inches (in) or centimeters (cm). The measurement should be entered in inches (48 to 86) or centimeters (122 to 218). If you are entering the patient's height in centimeters, enter 'C' after the number of centimeters. Your answer should be in one of the following two formats. 68 (representing inches) 173C (representing centimeters) Enter NS for NO STUDY if the patient's height cannot be determined. CICSP Definition (2004): Indicate the patient's height in either inches (in) or centimeters (cm) based upon an actual measurement (if possible) or based on the patient's estimate."
237,weight,206;2,FREE TEXT,,,"NSQIP Definition (2004): Report the patient's most recent weight documented in the medical record in either pounds (lbs) or kilograms (kg). The weight should be entered in pounds (50 to 700) or kilograms (23 to 318). If you are entering the patient's weight in kilograms, enter 'K' after the number of kilograms. Your answer should be in one of the following formats. 178 (weight in pounds) 80K (weight in Kilograms) Enter NS for NO STUDY if the patient's weight cannot be determined. CICSP Definition (2004): Indicate the patient's most recent weight before surgery in either pounds (lbs) or kilograms (kg) based upon an actual measurement (if possible) or based on the patient's estimate."
238,dnr status,200;7,SET OF CODES,,,"NSQIP Definition (2004): If the patient has had a Do-Not-Resuscitate (DNR) order written in the physician's order sheet of the patient's chart and it has been signed or co-signed by an attending physician [this is the only condition under which a DNR order is official in the VA in the 30 days prior to this surgery], enter ""YES"". If the DNR order as defined above was rescinded immediately prior to surgery in order to operate on the patient, enter ""YES"". Answer ""NO"" if DNR discussions are documented in the progress note, but no official DNR order has been written in the physician order sheet or if the attending physician has not signed the official order."
239,"preoperative hemoglobin, date",202;20,DATE-TIME,,,This is the date that the preoperative hemoglobin test was performed.
240,functional health status,200;8,SET OF CODES,,,"NSQIP Definition (2004): This is a question that focuses on the patient's abilities to perform activities of daily living (ADLs) in the 30 days prior to surgery. Activities of daily living are defined as 'the activities usually performed in the course of a normal day in a person's life'. ADLs include: bathing, feeding, dressing, toileting, and mobility. Report the corresponding level of self-care for activities of daily living demonstrated by this patient for the following two time points: (a) prior to the current illness, and (b) at the time the patient is being evaluated for surgery (which should be no longer than 30 days prior to surgery). If the patient's status changes prior to surgery, that change should be reflected in your assessment of (b). For each of these time points, report the level of functional health status as defined by the following criteria. (1) Independent: The patient does not require assistance from another person for any activities of daily living. This includes a person who is able to function independently with prosthetics, equipment, or devices. (2) Partially dependent: The patient requires some assistance from another person for activities of daily living. This includes a person who utilizes prosthetics, equipment, or devices but still requires some assistance from another person for ADLs. (3) Totally dependent: The patient requires total assistance for all activities of daily living. (4) Unknown: If unable to ascertain the functional status for the time point of 'prior to the current illness' only, report as unknown. All patients with psychiatric illnesses should be evaluated for their ability to function with or without assistance with ADLs just as the non-psychiatric patient. For instance, if a patient with schizophrenia is able to care for him/herself without the assistance of nursing care, he/she is considered independent. CICSP Definition (2004): Indicate the appropriate term that describes the level of self-care demonstrated by the patient that summarizes his/her status during the two weeks before surgery: Independent - The patient is independent in activities of daily living (bathing, toilet, eating, dressing, transfer and continence); he/she does not require the assistance of nursing care, equipment, or devices. This would include a patient who is able to function independently with a limb prosthesis. Partially dependent - The patient is partially dependent. He/she requires the use of equipment or devices coupled with assistance from another person for some activities of daily living. Any patient coming from a nursing home setting who is not totally dependent is described by this category. Any patient who requires dialysis for kidney failure or requires chronic oxygen therapy yet maintains independent functions, is considered partially dependent. Totally dependent - The patient is totally dependent and cannot perform ANY activities of daily living on his/her own. This includes a patient in an ICU/floor, or who is totally dependent on nursing care, or a dependent nursing home patient. All patients with psychiatric illnesses should be evaluated for their ability to function with or without assistance with ADLs in the same manner as the non-psychiatric patient. For instance, if a patient with schizophrenia is able to care for himself without the assistance of nursing care, he/she is considered independent."
241,pulmonary (y/n),200;9,SET OF CODES,,,This determines whether the patient has a history of pulmonary illnesses.
242,cardiac (y/n),200;30,SET OF CODES,,,This determines whether the patient has a history of cardiac illnesses.
243,renal (y/n),200;37,SET OF CODES,,,This determines whether the patient has a history of renal illnesses.
244,hepatobiliary (y/n),200;13,SET OF CODES,,,This determines whether the patient has a history of hepatobiliary illnesses.
245,nutritional/immune/other,200;44,SET OF CODES,,,"This determines whether the patient has a history of illness related to nutrition, immune deficiencies or other general deficiencies."
246,etoh > 2 drinks/day,200;4,SET OF CODES,,,"NSQIP Definition (2004): The patient admits to drinking >2 ounces of hard liquor or more than two 12 oz. cans of beer or more than two 6 oz. glasses of wine per day in the two weeks prior to admission. If the patient is a ""binge drinker"" divide out the numbers of drinks during the binge by seven days, and then apply the definition."
247,length of post-op stay,205;1,FREE TEXT,,,NSQIP Definition (2004): The software will automatically calculate the total number of days that the patient stayed in the acute care services of the medical center. The number of days should include the day after surgery and the date of discharge or transfer to intermediate or chronic care facilities. Enter NA if LENGTH OF POST-OP STAY is not applicable.
248,superficial incisional ssi,205;6,SET OF CODES,,,"NSQIP Definition (2004): Superficial incisional SSI is an infection that occurs within 30 days after the operation and infection involves only skin or subcutaneous tissue of the incision and at least one of the following: - Purulent drainage, with or without laboratory confirmation, from the superficial incision. - Organisms isolated from an aseptically obtained culture of fluid or tissue from the superficial incision. - At least one of the following signs or symptoms of infection: pain or tenderness, localized swelling, redness, or heat and superficial incision is deliberately opened by the surgeon, unless incision is culture-negative. - Diagnosis of superficial incisional SSI by the surgeon or attending physician. Do not report the following conditions as SSI: - Stitch abscess (minimal inflammation and discharge confined to the points of suture penetration). - Infected burn wound. - Incisional SSI that extends into the fascial and muscle layers (see deep incisional SSI)."
249,deep incisional ssi,205;7,SET OF CODES,,,"NSQIP Definition (2004): Deep Incision SSI is an infection that occurs within 30 days after the operation and the infection appears to be related to the operation and infection involved deep soft tissues (e.g., fascial and muscle layers) of the incision and at least one of the following: - Purulent drainage from the deep incision but not from the organ/space component of the surgical site. - A deep incision spontaneously dehisces or is deliberately opened by a surgeon when the patient has at least one of the following signs or symptoms: fever (>38 C), localized pain, or tenderness, unless site is culture-negative. - An abscess or other evidence of infection involving the deep incision is found on direct examination, during reoperation, or by histopathologic or radiologic examination. - Diagnosis of a deep incision SSI by a surgeon or attending physician. Note: - Report infection that involves both superficial and deep incision sites as deep incisional SSI. - Report an organ/space SSI that drains through the incision as a deep incisional SSI."
