Name,Reference,Description,Owner,Documents,Controls
CM-01.1 Configuration Management Policy And Procedures,VA Handbook 6330,VA Handbook 6330,Badhan S. Mandal,VA Handbook 6330.pdf,"Survey - 3-2 Configuration Management, question - CM-01.1 Configuration Management Policy And Procedures"
CM-02.1 Baseline Configuration,CLIN 0001AH  VAM Configuration Management Plan v 1.2,CLIN 0001AH  VAM Configuration Management Plan v 1.2,Badhan S. Mandal,CLIN 0001AH  VAM Configuration Management Plan v 1.2.docx,"Survey - 3-2 Configuration Management, question - CM-02.1 Baseline Configuration"
CM-02.1 Baseline Configuration,VAM_CM_Policy_Procedures,VAM_CM_Policy_Procedures,Badhan S. Mandal,VAM_CM_Policy_Procedures.docx,"Survey - 3-2 Configuration Management, question - CM-02.1 Baseline Configuration"
CM-02.1 Baseline Configuration,CM_Configuration_Management_SOP,CM_Configuration_Management_SOP,Badhan S. Mandal,CM_Configuration_Management_SOP.pdf,"Survey - 3-2 Configuration Management, question - CM-02.1 Baseline Configuration"
CM-02.E01 Baseline Configuration | Reviews And Updates,VAM_CM_Policy_Procedures,VAM_CM_Policy_Procedures,Badhan S. Mandal,VAM_CM_Policy_Procedures.docx,"Survey - 3-2 Configuration Management, question - CM-02.E01 Baseline Configuration | Reviews And Updates"
CM-02.E01 Baseline Configuration | Reviews And Updates,CLIN 0001AH  VAM Configuration Management Plan v 1.2,CLIN 0001AH  VAM Configuration Management Plan v 1.2,Badhan S. Mandal,CLIN 0001AH  VAM Configuration Management Plan v 1.2.docx,"Survey - 3-2 Configuration Management, question - CM-02.E01 Baseline Configuration | Reviews And Updates"
CM-02.E02 Baseline Configuration | Automation Support For Accuracy / Currency,CLIN 0001AH  VAM Configuration Management Plan v 1.2,CLIN 0001AH  VAM Configuration Management Plan v 1.2,Badhan S. Mandal,CLIN 0001AH  VAM Configuration Management Plan v 1.2.docx,"Survey - 3-2 Configuration Management, question - CM-02.E02 Baseline Configuration | Automation Support For Accuracy / Currency"
CM-02.E02 Baseline Configuration | Automation Support For Accuracy / Currency,VAM_CM_Policy_Procedures,VAM_CM_Policy_Procedures,Badhan S. Mandal,VAM_CM_Policy_Procedures.docx,"Survey - 3-2 Configuration Management, question - CM-02.E02 Baseline Configuration | Automation Support For Accuracy / Currency"
CM-02.E02 Baseline Configuration | Automation Support For Accuracy / Currency,VAM Dashboard-Jazz_Rational,VAM Dashboard-Jazz_Rational,Badhan S. Mandal,VAM Dashboard-Jazz_Rational.pdf,"Survey - 3-2 Configuration Management, question - CM-02.E02 Baseline Configuration | Automation Support For Accuracy / Currency"
CM-02.E03 Baseline Configuration | Retention Of Previous Configurations,VAM_CM_Policy_Procedures,VAM_CM_Policy_Procedures,Badhan S. Mandal,VAM_CM_Policy_Procedures.docx,"Survey - 3-2 Configuration Management, question - CM-02.E03 Baseline Configuration | Retention Of Previous Configurations"
CM-02.E03 Baseline Configuration | Retention Of Previous Configurations,CLIN 0001AH  VAM Configuration Management Plan v 1.2,CLIN 0001AH  VAM Configuration Management Plan v 1.2,Badhan S. Mandal,CLIN 0001AH  VAM Configuration Management Plan v 1.2.docx,"Survey - 3-2 Configuration Management, question - CM-02.E03 Baseline Configuration | Retention Of Previous Configurations"
CM-02.E07 Baseline Configuration | Configure Systems,CM-02.E07_EVIDENCE,CM-02.E07_EVIDENCE,Badhan S. Mandal,CM-02.E07_EVIDENCE.txt,"Survey - 3-2 Configuration Management, question - CM-02.E07 Baseline Configuration | Configure Systems"
CM-03.1 Configuration Change Control,CLIN 0001AH  VAM Configuration Management Plan v 1.2,CLIN 0001AH  VAM Configuration Management Plan v 1.2,Badhan S. Mandal,CLIN 0001AH  VAM Configuration Management Plan v 1.2.docx,"Survey - 3-2 Configuration Management, question - CM-03.1 Configuration Change Control"
CM-03.1 Configuration Change Control,VAM_CM_Policy_Procedures,VAM_CM_Policy_Procedures,Badhan S. Mandal,VAM_CM_Policy_Procedures.docx,"Survey - 3-2 Configuration Management, question - CM-03.1 Configuration Change Control"
CM-03.1 Configuration Change Control,CM_Configuration_Management_SOP,CM_Configuration_Management_SOP,Badhan S. Mandal,CM_Configuration_Management_SOP.pdf,"Survey - 3-2 Configuration Management, question - CM-03.1 Configuration Change Control"
CM-03.1 Configuration Change Control,VAM Dashboard-Jazz_Rational,VAM Dashboard-Jazz_Rational,Badhan S. Mandal,VAM Dashboard-Jazz_Rational.pdf,"Survey - 3-2 Configuration Management, question - CM-03.1 Configuration Change Control"
CM-03.E01 Configuration Change Control | Automated Document / Notification / Prohibition Of Changes,VAM_CM_Policy_Procedures,VAM_CM_Policy_Procedures,Badhan S. Mandal,VAM_CM_Policy_Procedures.docx,"Survey - 3-2 Configuration Management, question - CM-03.E01 Configuration Change Control | Automated Document / Notification / Prohibition Of Changes"
CM-03.E01 Configuration Change Control | Automated Document / Notification / Prohibition Of Changes,CLIN 0001AH  VAM Configuration Management Plan v 1.2,CLIN 0001AH  VAM Configuration Management Plan v 1.2,Badhan S. Mandal,CLIN 0001AH  VAM Configuration Management Plan v 1.2.docx,"Survey - 3-2 Configuration Management, question - CM-03.E01 Configuration Change Control | Automated Document / Notification / Prohibition Of Changes"
CM-03.E01 Configuration Change Control | Automated Document / Notification / Prohibition Of Changes,VAM Dashboard-Jazz_Rational,VAM Dashboard-Jazz_Rational,Badhan S. Mandal,VAM Dashboard-Jazz_Rational.pdf,"Survey - 3-2 Configuration Management, question - CM-03.E01 Configuration Change Control | Automated Document / Notification / Prohibition Of Changes"
CM-03.E02 Configuration Change Control | Test / Validate / Document Changes,"CLIN 0001AH  VAM Configuration Management Plan v 1.2,","CLIN 0001AH  VAM Configuration Management Plan v 1.2,",Badhan S. Mandal,CLIN 0001AH  VAM Configuration Management Plan v 1.2.docx,"Survey - 3-2 Configuration Management, question - CM-03.E02 Configuration Change Control | Test / Validate / Document Changes"
CM-03.E02 Configuration Change Control | Test / Validate / Document Changes,VAM_CM_Policy_Procedures,VAM_CM_Policy_Procedures,Badhan S. Mandal,VAM_CM_Policy_Procedures.docx,"Survey - 3-2 Configuration Management, question - CM-03.E02 Configuration Change Control | Test / Validate / Document Changes"
CM-04.1 Security Impact Analysis,VAM Security_Impact_Analysis 8-9-2018,VAM Security_Impact_Analysis 8-9-2018,Badhan S. Mandal,VAM Security_Impact_Analysis 8-9-2018.xlsx,"Survey - 3-2 Configuration Management, question - CM-04.1 Security Impact Analysis"
CM-04.1 Security Impact Analysis,CLIN 0001AH  VAM Configuration Management Plan v 1.2,CLIN 0001AH  VAM Configuration Management Plan v 1.2,Badhan S. Mandal,CLIN 0001AH  VAM Configuration Management Plan v 1.2.docx,"Survey - 3-2 Configuration Management, question - CM-04.1 Security Impact Analysis"
CM-04.1 Security Impact Analysis,VAM_CM_Policy_Procedures,VAM_CM_Policy_Procedures,Badhan S. Mandal,VAM_CM_Policy_Procedures.docx,"Survey - 3-2 Configuration Management, question - CM-04.1 Security Impact Analysis"
CM-04.1 Security Impact Analysis,CM_Configuration_Management_SOP,CM_Configuration_Management_SOP,Badhan S. Mandal,CM_Configuration_Management_SOP.pdf,"Survey - 3-2 Configuration Management, question - CM-04.1 Security Impact Analysis"
CM-04.E01 Security Impact Analysis | Separate Test Environments,VAM Security_Impact_Analysis 8-9-2018,VAM Security_Impact_Analysis 8-9-2018,Badhan S. Mandal,VAM Security_Impact_Analysis 8-9-2018.xlsx,"Survey - 3-2 Configuration Management, question - CM-04.E01 Security Impact Analysis | Separate Test Environments"
CM-04.E01 Security Impact Analysis | Separate Test Environments,CLIN 0001AH  VAM Configuration Management Plan v 1.2,CLIN 0001AH  VAM Configuration Management Plan v 1.2,Badhan S. Mandal,CLIN 0001AH  VAM Configuration Management Plan v 1.2.docx,"Survey - 3-2 Configuration Management, question - CM-04.E01 Security Impact Analysis | Separate Test Environments"
CM-05.1 Access Restrictions For Change,VAM Security_Impact_Analysis 8-9-2018,VAM Security_Impact_Analysis 8-9-2018,Badhan S. Mandal,VAM Security_Impact_Analysis 8-9-2018.xlsx,"Survey - 3-2 Configuration Management, question - CM-05.1 Access Restrictions For Change"
CM-05.1 Access Restrictions For Change,CLIN 0001AH  VAM Configuration Management Plan v 1.2,CLIN 0001AH  VAM Configuration Management Plan v 1.2,Badhan S. Mandal,CLIN 0001AH  VAM Configuration Management Plan v 1.2.docx,"Survey - 3-2 Configuration Management, question - CM-05.1 Access Restrictions For Change"
CM-05.1 Access Restrictions For Change,CM_Configuration_Management_SOP,CM_Configuration_Management_SOP,Badhan S. Mandal,CM_Configuration_Management_SOP.pdf,"Survey - 3-2 Configuration Management, question - CM-05.1 Access Restrictions For Change"
CM-05.1 Access Restrictions For Change,VAM Dashboard-Jazz_Rational,VAM Dashboard-Jazz_Rational,Badhan S. Mandal,VAM Dashboard-Jazz_Rational.pdf,"Survey - 3-2 Configuration Management, question - CM-05.1 Access Restrictions For Change"
CM-05.E01 Access Restrictions For Change | Automated Access Enforcement / Auditing,VAM_SDD_Document_NEW,VAM_SDD_Document_NEW,Badhan S. Mandal,VAM_SDD_Document_NEW.docx,"Survey - 3-2 Configuration Management, question - CM-05.E01 Access Restrictions For Change | Automated Access Enforcement / Auditing"
CM-05.E01 Access Restrictions For Change | Automated Access Enforcement / Auditing,VAM System Boundary,VAM System Boundary,Badhan S. Mandal,VAM System Boundary.docx,"Survey - 3-2 Configuration Management, question - CM-05.E01 Access Restrictions For Change | Automated Access Enforcement / Auditing"
CM-05.E01 Access Restrictions For Change | Automated Access Enforcement / Auditing,PIV_Logon_Screen,PIV_Logon_Screen,Badhan S. Mandal,IA-02_PIV_Logon_Screen.jpg,"Survey - 3-2 Configuration Management, question - CM-05.E01 Access Restrictions For Change | Automated Access Enforcement / Auditing"
CM-05.E02 Access Restrictions For Change | Review System Changes,CLIN 0001AH  VAM Configuration Management Plan v 1.2,CLIN 0001AH  VAM Configuration Management Plan v 1.2,Badhan S. Mandal,CLIN 0001AH  VAM Configuration Management Plan v 1.2.docx,"Survey - 3-2 Configuration Management, question - CM-05.E02 Access Restrictions For Change | Review System Changes"
CM-05.E02 Access Restrictions For Change | Review System Changes,"VA Handbook 6500, Appendix F","VA Handbook 6500, Appendix F",Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Configuration Management, question - CM-05.E02 Access Restrictions For Change | Review System Changes"
CM-05.E02 Access Restrictions For Change | Review System Changes,VAM Dashboard-Jazz_Rational,VAM Dashboard-Jazz_Rational,Badhan S. Mandal,VAM Dashboard-Jazz_Rational.pdf,"Survey - 3-2 Configuration Management, question - CM-05.E02 Access Restrictions For Change | Review System Changes"
CM-05.E03 Access Restrictions For Change | Signed Components,CLIN 0001AH  VAM Configuration Management Plan v 1.2,CLIN 0001AH  VAM Configuration Management Plan v 1.2,Badhan S. Mandal,CLIN 0001AH  VAM Configuration Management Plan v 1.2.docx,"Survey - 3-2 Configuration Management, question - CM-05.E03 Access Restrictions For Change | Signed Components"
CM-05.E03 Access Restrictions For Change | Signed Components,CM-7.E02_TRM_Home_Page_screenshot,CM-7.E02_TRM_Home_Page_screenshot,Badhan S. Mandal,CM-7.E02_TRM_Home_Page_screenshot.pdf,"Survey - 3-2 Configuration Management, question - CM-05.E03 Access Restrictions For Change | Signed Components"
CM-06.1 Configuration Settings,ESCCB Ticket,ESCCB Ticket,Badhan S. Mandal,ESCCB Ticket.PNG,"Survey - 3-2 Configuration Management, question - CM-06.1 Configuration Settings"
CM-06.E01 Configuration Settings | Automated Central Management / Application / Verification,CLIN 0001AH  VAM Configuration Management Plan v 1.2,CLIN 0001AH  VAM Configuration Management Plan v 1.2,Badhan S. Mandal,CLIN 0001AH  VAM Configuration Management Plan v 1.2.docx,"Survey - 3-2 Configuration Management, question - CM-06.E01 Configuration Settings | Automated Central Management / Application / Verification"
CM-06.E01 Configuration Settings | Automated Central Management / Application / Verification,VAM Dashboard-Jazz_Rational,VAM Dashboard-Jazz_Rational,Badhan S. Mandal,VAM Dashboard-Jazz_Rational.pdf,"Survey - 3-2 Configuration Management, question - CM-06.E01 Configuration Settings | Automated Central Management / Application / Verification"
CM-06.E02 Configuration Settings | Respond To Unauthorized Changes,VA_Handbook_6500,VA_Handbook_6500,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Configuration Management, question - CM-06.E02 Configuration Settings | Respond To Unauthorized Changes"
CM-06.E02 Configuration Settings | Respond To Unauthorized Changes,ESCCB Ticket,ESCCB Ticket,Badhan S. Mandal,ESCCB Ticket.PNG,"Survey - 3-2 Configuration Management, question - CM-06.E02 Configuration Settings | Respond To Unauthorized Changes"
CM-07.1 Least Functionality,ESCCB Ticket,ESCCB Ticket,Badhan S. Mandal,ESCCB Ticket.PNG,"Survey - 3-2 Configuration Management, question - CM-07.1 Least Functionality"
CM-07.1 Least Functionality,VAM Dashboard-Jazz_Rational,VAM Dashboard-Jazz_Rational,Badhan S. Mandal,VAM Dashboard-Jazz_Rational.pdf,"Survey - 3-2 Configuration Management, question - CM-07.1 Least Functionality"
CM-07.1 Least Functionality,CLIN 0001AH  VAM Configuration Management Plan v 1.2,CLIN 0001AH  VAM Configuration Management Plan v 1.2,Badhan S. Mandal,CLIN 0001AH  VAM Configuration Management Plan v 1.2.docx,"Survey - 3-2 Configuration Management, question - CM-07.1 Least Functionality"
CM-07.1 Least Functionality,VAM_SDD_Document_NEW,VAM_SDD_Document_NEW,Badhan S. Mandal,VAM_SDD_Document_NEW.docx,"Survey - 3-2 Configuration Management, question - CM-07.1 Least Functionality"
CM-07.E01 Least Functionality | Periodic Review,ESCCB Ticket,ESCCB Ticket,Badhan S. Mandal,ESCCB Ticket.PNG,"Survey - 3-2 Configuration Management, question - CM-07.E01 Least Functionality | Periodic Review"
CM-07.E01 Least Functionality | Periodic Review,VAM Dashboard-Jazz_Rational,VAM Dashboard-Jazz_Rational,Badhan S. Mandal,VAM Dashboard-Jazz_Rational.pdf,"Survey - 3-2 Configuration Management, question - CM-07.E01 Least Functionality | Periodic Review"
CM-07.E01 Least Functionality | Periodic Review,CLIN 0001AH  VAM Configuration Management Plan v 1.2,CLIN 0001AH  VAM Configuration Management Plan v 1.2,Badhan S. Mandal,CLIN 0001AH  VAM Configuration Management Plan v 1.2.docx,"Survey - 3-2 Configuration Management, question - CM-07.E01 Least Functionality | Periodic Review"
CM-07.E02 Least Functionality | Prevent Program Execution,CLIN 0001AH  VAM Configuration Management Plan v 1.2,CLIN 0001AH  VAM Configuration Management Plan v 1.2,Badhan S. Mandal,CLIN 0001AH  VAM Configuration Management Plan v 1.2.docx,"Survey - 3-2 Configuration Management, question - CM-07.E02 Least Functionality | Prevent Program Execution"
CM-07.E02 Least Functionality | Prevent Program Execution,VA_Handbook_6500,VA_Handbook_6500,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Configuration Management, question - CM-07.E02 Least Functionality | Prevent Program Execution"
CM-07.E02 Least Functionality | Prevent Program Execution,VAM_CM_Policy_Procedures,VAM_CM_Policy_Procedures,Badhan S. Mandal,VAM_CM_Policy_Procedures.docx,"Survey - 3-2 Configuration Management, question - CM-07.E02 Least Functionality | Prevent Program Execution"
CM-07.E05 Least Functionality | Authorized Software / Whitelisting,VAM_CM_Policy_Procedures,VAM_CM_Policy_Procedures,Badhan S. Mandal,VAM_CM_Policy_Procedures.docx,"Survey - 3-2 Configuration Management, question - CM-07.E05 Least Functionality | Authorized Software / Whitelisting"
CM-07.E05 Least Functionality | Authorized Software / Whitelisting,VA_Handbook_6500,VA_Handbook_6500,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Configuration Management, question - CM-07.E05 Least Functionality | Authorized Software / Whitelisting"
CM-07.E05 Least Functionality | Authorized Software / Whitelisting,CLIN 0001AH  VAM Configuration Management Plan v 1.2,CLIN 0001AH  VAM Configuration Management Plan v 1.2,Badhan S. Mandal,CLIN 0001AH  VAM Configuration Management Plan v 1.2.docx,"Survey - 3-2 Configuration Management, question - CM-07.E05 Least Functionality | Authorized Software / Whitelisting"
CM-08.1 Information System Component Inventory,VAM System Boundary,VAM System Boundary,Badhan S. Mandal,VAM System Boundary.docx,"Survey - 3-2 Configuration Management, question - CM-08.1 Information System Component Inventory"
CM-08.1 Information System Component Inventory,CLIN 0001AH  VAM Configuration Management Plan v 1.2,CLIN 0001AH  VAM Configuration Management Plan v 1.2,Badhan S. Mandal,CLIN 0001AH  VAM Configuration Management Plan v 1.2.docx,"Survey - 3-2 Configuration Management, question - CM-08.1 Information System Component Inventory"
CM-08.1 Information System Component Inventory,VA_Handbook_6500,VA_Handbook_6500,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Configuration Management, question - CM-08.1 Information System Component Inventory"
CM-08.E01 Information System Component Inventory | Updates During Installations / Removals,VA_Handbook_6500,VA_Handbook_6500,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Configuration Management, question - CM-08.E01 Information System Component Inventory | Updates During Installations / Removals"
CM-08.E02 Information System Component Inventory | Automated Maintenance,"VA_Handbook_6500, Appendix F","VA_Handbook_6500, Appendix F",Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Configuration Management, question - CM-08.E02 Information System Component Inventory | Automated Maintenance"
CM-08.E03 Information System Component Inventory | Automated Unauthorized Component Detection,CM-8.E03_VA_NSOC_System_Monitoring,CM-8.E03_VA_NSOC_System_Monitoring,Badhan S. Mandal,CM-8.E03_VA_NSOC_System_Monitoring.docx,"Survey - 3-2 Configuration Management, question - CM-08.E03 Information System Component Inventory | Automated Unauthorized Component Detection"
CM-08.E04 Information System Component Inventory | Accountability Information,CLIN 0001AH  VAM Configuration Management Plan v 1.2,CLIN 0001AH  VAM Configuration Management Plan v 1.2,Badhan S. Mandal,CLIN 0001AH  VAM Configuration Management Plan v 1.2.docx,"Survey - 3-2 Configuration Management, question - CM-08.E04 Information System Component Inventory | Accountability Information"
CM-08.E05 Information System Component Inventory | No Duplicate Accounting Of Components,CLIN 0001AH  VAM Configuration Management Plan v 1.2,CLIN 0001AH  VAM Configuration Management Plan v 1.2,Badhan S. Mandal,CLIN 0001AH  VAM Configuration Management Plan v 1.2.docx,"Survey - 3-2 Configuration Management, question - CM-08.E05 Information System Component Inventory | No Duplicate Accounting Of Components"
CM-09.1 Configuration Management Plan,CLIN 0001AH  VAM Configuration Management Plan v 1.2,CLIN 0001AH  VAM Configuration Management Plan v 1.2,Badhan S. Mandal,CLIN 0001AH  VAM Configuration Management Plan v 1.2.docx,"Survey - 3-2 Configuration Management, question - CM-09.1 Configuration Management Plan"
CM-10.1 Software Usage Restrictions,CM-7.E02_TRM_Home_Page_screenshot,CM-7.E02_TRM_Home_Page_screenshot,Badhan S. Mandal,CM-7.E02_TRM_Home_Page_screenshot.pdf,"Survey - 3-2 Configuration Management, question - CM-10.1 Software Usage Restrictions"
CM-11.1 User-Installed Software,CM-7.E02_TRM_Home_Page_screenshot,CM-7.E02_TRM_Home_Page_screenshot,Badhan S. Mandal,CM-7.E02_TRM_Home_Page_screenshot.pdf,"Survey - 3-2 Configuration Management, question - CM-11.1 User-Installed Software"
CP-01.1 Contingency Planning Policy And Procedures,VA Directive 6300,VA Directive 6300,Badhan S. Mandal,VA Directive 6300.pdf,"Survey - 3-2 Contingency Planning, question - CP-01.1 Contingency Planning Policy And Procedures"
CP-01.1 Contingency Planning Policy And Procedures,VA Handbook 6330,VA Handbook 6330,Badhan S. Mandal,VA Handbook 6330.pdf,"Survey - 3-2 Contingency Planning, question - CP-01.1 Contingency Planning Policy And Procedures"
CP-01.1 Contingency Planning Policy And Procedures,VAM_CP_Policy_Procedures,VAM_CP_Policy_Procedures,Badhan S. Mandal,VAM_CP_Policy_Procedures.docx,"Survey - 3-2 Contingency Planning, question - CP-01.1 Contingency Planning Policy And Procedures"
CP-02.1 Contingency Plan,VAM - ISCP 1.1,VAM - ISCP 1.1,Badhan S. Mandal,VAM - ISCP 1.1.docx,"Survey - 3-2 Contingency Planning, question - CP-02.1 Contingency Plan"
CP-02.1 Contingency Plan,7_VAEC_AWS_ISCP_16JAN2018,7_VAEC_AWS_ISCP_16JAN2018,Badhan S. Mandal,7_VAEC_AWS_ISCP_16JAN2018.pdf,"Survey - 3-2 Contingency Planning, question - CP-02.1 Contingency Plan"
CP-02.1 Contingency Plan,VAM_System_Security_Plan,VAM_System_Security_Plan,Badhan S. Mandal,VAM_System_Security_Plan.pdf,"Survey - 3-2 Contingency Planning, question - CP-02.1 Contingency Plan"
CP-02.E01 Contingency Plan | Coordinate With Related Plans,VAM - ISCP 1.1,VAM - ISCP 1.1,Badhan S. Mandal,VAM - ISCP 1.1.docx,"Survey - 3-2 Contingency Planning, question - CP-02.E01 Contingency Plan | Coordinate With Related Plans"
CP-02.E01 Contingency Plan | Coordinate With Related Plans,7_VAEC_AWS_ISCP_16JAN2018,7_VAEC_AWS_ISCP_16JAN2018,Badhan S. Mandal,7_VAEC_AWS_ISCP_16JAN2018.pdf,"Survey - 3-2 Contingency Planning, question - CP-02.E01 Contingency Plan | Coordinate With Related Plans"
CP-02.E01 Contingency Plan | Coordinate With Related Plans,VAM_CP_Policy_Procedures,VAM_CP_Policy_Procedures,Badhan S. Mandal,VAM_CP_Policy_Procedures.docx,"Survey - 3-2 Contingency Planning, question - CP-02.E01 Contingency Plan | Coordinate With Related Plans"
CP-02.E01 Contingency Plan | Coordinate With Related Plans,VAM_DRP_1.0_Unsigned,VAM_DRP_1.0_Unsigned,Badhan S. Mandal,VAM_DRP_1.0_Unsigned.docx,"Survey - 3-2 Contingency Planning, question - CP-02.E01 Contingency Plan | Coordinate With Related Plans"
CP-02.E01 Contingency Plan | Coordinate With Related Plans,VAM IRP_V_1.0_Unsigned,VAM IRP_V_1.0_Unsigned,Badhan S. Mandal,VAM IRP_V_1.0_Unsigned.docx,"Survey - 3-2 Contingency Planning, question - CP-02.E01 Contingency Plan | Coordinate With Related Plans"
CP-02.E02 Contingency Plan | Capacity Planning,VAM - ISCP 1.1,VAM - ISCP 1.1,Badhan S. Mandal,VAM - ISCP 1.1.docx,"Survey - 3-2 Contingency Planning, question - CP-02.E02 Contingency Plan | Capacity Planning"
CP-02.E02 Contingency Plan | Capacity Planning,VAM CP Policy and Procedures,VAM CP Policy and Procedures,Badhan S. Mandal,,"Survey - 3-2 Contingency Planning, question - CP-02.E02 Contingency Plan | Capacity Planning"
CP-02.E03 Contingency Plan | Resume Essential Missions / Business Functions,VAM - ISCP 1.1,VAM - ISCP 1.1,Badhan S. Mandal,VAM - ISCP 1.1.docx,"Survey - 3-2 Contingency Planning, question - CP-02.E03 Contingency Plan | Resume Essential Missions / Business Functions"
CP-02.E03 Contingency Plan | Resume Essential Missions / Business Functions,Business Impact Analysis VAM Signed,Business Impact Analysis VAM Signed,Badhan S. Mandal,Business Impact Analysis VAM Signed.pdf,"Survey - 3-2 Contingency Planning, question - CP-02.E03 Contingency Plan | Resume Essential Missions / Business Functions"
CP-02.E03 Contingency Plan | Resume Essential Missions / Business Functions,VAM_CP_Policy_Procedures,VAM_CP_Policy_Procedures,Badhan S. Mandal,VAM_CP_Policy_Procedures.docx,"Survey - 3-2 Contingency Planning, question - CP-02.E03 Contingency Plan | Resume Essential Missions / Business Functions"
CP-02.E04 Contingency Plan | Resume All Missions / Business Functions,VAM - ISCP 1.1,VAM - ISCP 1.1,Badhan S. Mandal,VAM - ISCP 1.1.docx,"Survey - 3-2 Contingency Planning, question - CP-02.E04 Contingency Plan | Resume All Missions / Business Functions"
CP-02.E04 Contingency Plan | Resume All Missions / Business Functions,VAM_CP_Policy_Procedures,VAM_CP_Policy_Procedures,Badhan S. Mandal,VAM_CP_Policy_Procedures.docx,"Survey - 3-2 Contingency Planning, question - CP-02.E04 Contingency Plan | Resume All Missions / Business Functions"
CP-02.E04 Contingency Plan | Resume All Missions / Business Functions,Business Impact Analysis VAM Signed,Business Impact Analysis VAM Signed,Badhan S. Mandal,Business Impact Analysis VAM Signed.pdf,"Survey - 3-2 Contingency Planning, question - CP-02.E04 Contingency Plan | Resume All Missions / Business Functions"
CP-02.E05 Contingency Plan | Continue Essential Missions / Business Functions,VAM - ISCP 1.1,VAM - ISCP 1.1,Badhan S. Mandal,VAM - ISCP 1.1.docx,"Survey - 3-2 Contingency Planning, question - CP-02.E05 Contingency Plan | Continue Essential Missions / Business Functions"
CP-02.E05 Contingency Plan | Continue Essential Missions / Business Functions,7_VAEC_AWS_ISCP_16JAN2018,7_VAEC_AWS_ISCP_16JAN2018,Badhan S. Mandal,7_VAEC_AWS_ISCP_16JAN2018.pdf,"Survey - 3-2 Contingency Planning, question - CP-02.E05 Contingency Plan | Continue Essential Missions / Business Functions"
CP-02.E05 Contingency Plan | Continue Essential Missions / Business Functions,Business Impact Analysis VAM Signed,Business Impact Analysis VAM Signed,Badhan S. Mandal,Business Impact Analysis VAM Signed.pdf,"Survey - 3-2 Contingency Planning, question - CP-02.E05 Contingency Plan | Continue Essential Missions / Business Functions"
CP-02.E05 Contingency Plan | Continue Essential Missions / Business Functions,VAM_CP_Policy_Procedures,VAM_CP_Policy_Procedures,Badhan S. Mandal,VAM_CP_Policy_Procedures.docx,"Survey - 3-2 Contingency Planning, question - CP-02.E05 Contingency Plan | Continue Essential Missions / Business Functions"
CP-02.E08 Contingency Plan | Identify Critical Assets,VAM - ISCP 1.1,VAM - ISCP 1.1,Badhan S. Mandal,VAM - ISCP 1.1.docx,"Survey - 3-2 Contingency Planning, question - CP-02.E08 Contingency Plan | Identify Critical Assets"
CP-02.E08 Contingency Plan | Identify Critical Assets,7_VAEC_AWS_ISCP_16JAN2018,7_VAEC_AWS_ISCP_16JAN2018,Badhan S. Mandal,7_VAEC_AWS_ISCP_16JAN2018.pdf,"Survey - 3-2 Contingency Planning, question - CP-02.E08 Contingency Plan | Identify Critical Assets"
CP-02.E08 Contingency Plan | Identify Critical Assets,VAM_CP_Policy_Procedures,VAM_CP_Policy_Procedures,Badhan S. Mandal,VAM_CP_Policy_Procedures.docx,"Survey - 3-2 Contingency Planning, question - CP-02.E08 Contingency Plan | Identify Critical Assets"
CP-02.E08 Contingency Plan | Identify Critical Assets,Business Impact Analysis VAM Signed,Business Impact Analysis VAM Signed,Badhan S. Mandal,Business Impact Analysis VAM Signed.pdf,"Survey - 3-2 Contingency Planning, question - CP-02.E08 Contingency Plan | Identify Critical Assets"
CP-03.1 Contingency Training,VAM - ISCP 1.1,VAM - ISCP 1.1,Badhan S. Mandal,VAM - ISCP 1.1.docx,"Survey - 3-2 Contingency Planning, question - CP-03.1 Contingency Training"
CP-03.E01 Contingency Training | Simulated Events,VAM - ISCP 1.1,VAM - ISCP 1.1,Badhan S. Mandal,VAM - ISCP 1.1.docx,"Survey - 3-2 Contingency Planning, question - CP-03.E01 Contingency Training | Simulated Events"
CP-04.1 Contingency Plan Testing,VAM - ISCP 1.1,VAM - ISCP 1.1,Badhan S. Mandal,VAM - ISCP 1.1.docx,"Survey - 3-2 Contingency Planning, question - CP-04.1 Contingency Plan Testing"
CP-04.E01 Contingency Plan Testing | Coordinate With Related Plans,VAM - ISCP 1.1,VAM - ISCP 1.1,Badhan S. Mandal,VAM - ISCP 1.1.docx,"Survey - 3-2 Contingency Planning, question - CP-04.E01 Contingency Plan Testing | Coordinate With Related Plans"
CP-04.E02 Contingency Plan Testing | Alternate Processing Site,VAM - ISCP 1.1,VAM - ISCP 1.1,Badhan S. Mandal,VAM - ISCP 1.1.docx,"Survey - 3-2 Contingency Planning, question - CP-04.E02 Contingency Plan Testing | Alternate Processing Site"
