mpog_concept_type_description,concept_desc,mpog_concept_type_id,mpog_concept_id
Preoperative Observations,Respiratory - Upper Resp Infection,7,70124
Preoperative Observations,History - Social History - General,7,70125
Preoperative Observations,History - Social History - Alcohol,7,70126
Preoperative Observations,History - Social History - Illicit Drug Use,7,70127
Preoperative Observations,History - Social History - Tobacco,7,70128
Preoperative Observations,Cardiovascular - Pulmonary Embolus,7,70129
Preoperative Observations,General - Family History (non-anesthetic),7,70130
Preoperative Observations,General - General appearance,7,70131
Preoperative Observations,Physical exam - abdominal,7,70132
Preoperative Observations,Obstetrics - Gyn - Other,7,70133
Preoperative Observations,History - History of chemotherapy,7,70134
Preoperative Observations,ID - Other,7,70135
Preoperative Observations,Pediatrics - Other,7,70136
Preoperative Observations,Pediatrics - Birthweight,7,70137
Preoperative Observations,Respiratory - Bronchitis,7,70138
Preoperative Observations,Renal / Urologic - Tumor,7,70139
Preoperative Observations,Assessment and Plan - NPO since,7,70140
Preoperative Observations,General - Surgery Service,7,70141
Preoperative Observations,Assessment and Plan - Emergent Status,7,70142
Preoperative Observations,Airway - Overall exam,7,70143
Preoperative Observations,Pain - Pain Location,7,70144
Preoperative Observations,Assessment and Plan - Labs requested,7,70145
Preoperative Observations,Respiratory - Mechanical Ventilation General,7,70200
Preoperative Observations,Respiratory - Mechanical Ventilation - FiO2,7,70202
Preoperative Observations,Respiratory - Mechanical Ventilation - Mode,7,70203
Preoperative Observations,Respiratory - Mechanical Ventilation - PEEP,7,70204
Preoperative Observations,Respiratory - Mechanical Ventilation - Pressure Limit,7,70205
Preoperative Observations,Respiratory - Mechanical Ventilation - Rate Set,7,70206
Preoperative Observations,Respiratory - Mechanical Ventilation - Tidal volume,7,70207
Preoperative Observations,Physical Exam - Pulse Rate,7,70210
Preoperative Observations,Physical Exam - BP Dias,7,70211
Preoperative Observations,Physical Exam - BP Sys,7,70212
Preoperative Observations,Physical Exam - Resp Rate,7,70213
Preoperative Observations,Physical Exam - SaO2,7,70214
Preoperative Observations,Physical Exam - Oxygen Supplementation,7,70215
Preoperative Observations,Assessment and Plan - Anesthesia Technique,7,70220
Preoperative Observations,Assessment and Plan - Aspiration Risk,7,70221
Preoperative Observations,Assessment and Plan - Attending Presence,7,70222
Preoperative Observations,Assessment and Plan - Blood Products,7,70223
Preoperative Observations,Assessment and Plan - Chart Reviewed,7,70224
Preoperative Observations,Assessment and Plan - Comments,7,70225
Preoperative Observations,Assessment and Plan - Billing Anesthesia Base CPT Code,7,70226
Preoperative Observations,Assessment and Plan - Billing Comments,7,70227
Preoperative Observations,Assessment and Plan - Billing Anesthesia E&M Code,7,70228
Preoperative Observations,Assessment and Plan - Billing Status,7,70229
Preoperative Observations,Assessment and Plan - Billing ICD9,7,70230
Preoperative Observations,Assessment and Plan - Planned Monitors,7,70231
Preoperative Observations,Assessment and Plan - Outstanding Issues,7,70232
Preoperative Observations,Assessment and Plan - ASA Physical Status,7,70233
Preoperative Observations,Assessment and Plan - Postop Pain Management,7,70234
Preoperative Observations,Assessment and Plan - Required Paperwork,7,70235
Preoperative Observations,Assessment and Plan - Work Up Status,7,70236
Preoperative Observations,Assessment and Plan - Induction Type,7,70237
Preoperative Observations,Misc - Visual Disturbance,7,70238
Preoperative Observations,Pain - Surgery is for chronic pain,7,70239
Preoperative Observations,General - Anesthesia Awareness ,7,70240
Preoperative Observations,Physical Exam - Multiple Body Systems,7,70241
Preoperative Observations,Neuro - Spine  and Spinal Cord Disease,7,70242
Preoperative Observations,Hematologic - Anticoagulation,7,70243
Preoperative Observations,Physical Exam - Multiple Vital Signs,7,70244
Preoperative Observations,Obstetrics / Gyn - Benign Gynecology ,7,70245
Preoperative Observations,Physical Exam - Temperature,7,70246
Preoperative Observations,Assessment and Plan - Miscellaneous Compliance Documentation,7,70247
Preoperative Observations,General - Environmental Allergies,7,70248
Preoperative Observations,General - Past Medical History Free Text Comments,7,70249
Preoperative Observations,Physical Exam - Age,7,70250
Preoperative Observations,Assessment and Plan - ASA Physical Status (do not use),7,70252
Preoperative Observations,Physical Exam - Body Mass Index,7,70253
Preoperative Observations,Physical Exam - Body Surface Area,7,70254
Preoperative Observations,Physical Exam - Cardiac Auscultation and Exam,7,70255
Preoperative Observations,Testing - Completed Tests,7,70256
Preoperative Observations,Physical Exam - Height (cm),7,70257
Preoperative Observations,Physical Exam - Height (in),7,70258
Preoperative Observations,Physical Exam - Ideal Body Weight,7,70259
Preoperative Observations,Physical Exam - Ideal Body Weight (%),7,70260
Preoperative Observations,Physical Exam - Lung Fields,7,70261
Preoperative Observations,Physical Exam - Neurologic,7,70262
Preoperative Observations,Physical Exam - Other Comments,7,70263
Preoperative Observations,Physical Exam - Weight (kg),7,70264
Preoperative Observations,Physical Exam - Weight (lb),7,70265
Preoperative Observations,Misc - ENT symptoms,7,70266
Preoperative Observations,Studies - Stress Test Interpretation,7,70267
Preoperative Observations,Studies - Stress Test Date,7,70268
Preoperative Observations,General - Blood Pressure Meds Continued,7,70269
Preoperative Observations,Studies - LV Ejection Fraction Interpretation,7,70270
Preoperative Observations,Studies - Stress Test Inducible Ischemia Interpretation,7,70271
Preoperative Observations,Hematologic - Active Bleeding,7,70300
Preoperative Observations,Assessment and Plan - Anesthesia Consent,7,70301
Preoperative Observations,Assessment and Plan - Anesthetic Consideration,7,70302
Preoperative Observations,ID - Antibiotic Resistance,7,70303
Preoperative Observations,Assessment and Plan - Attending Signature,7,70304
Preoperative Observations,General - Beta Blocker Continued,7,70305
Preoperative Observations,Assessment and Plan - Case Cancelled,7,70306
Preoperative Observations,Assessment and Plan - DNR Status in OR,7,70307
Preoperative Observations,Assessment and Plan - Emergency Procedure,7,70308
Preoperative Observations,Assessment and Plan - Billing Established Patient,7,70309
Preoperative Observations,Assessment and Plan - Evaluation Complete,7,70310
Preoperative Observations,Airway - Existing Airway,7,70311
Preoperative Observations,Physical Exam - Existing Vascular Access,7,70312
Preoperative Observations,Assessment and Plan - Difficult Vascular Access anticipated,7,70313
Preoperative Observations,Cardiovascular  - Functional Capacity,7,70314
Preoperative Observations,Physical Exam - Integument,7,70315
Preoperative Observations,ID - Isolation Code,7,70316
Preoperative Observations,ID - Isolation Precautions,7,70317
Preoperative Observations,Physical exam - Level of Consciousness,7,70318
Preoperative Observations,Assessment and Plan - NPO Status,7,70319
Preoperative Observations,Obstetrics / Gyn - Expected Delivery,7,70320
Preoperative Observations,General - Gestational Age,7,70321
Preoperative Observations,Obstetrics / Gyn - Gravida,7,70322
Preoperative Observations,Obstetrics / Gyn - Parity,7,70323
Preoperative Observations,Obstetrics / Gyn - Pregnancy Issues,7,70324
Preoperative Observations,Obstetrics / Gyn - Reason for Consult,7,70326
Preoperative Observations,Pain - Opioid 24 Hour Dose,7,70327
Preoperative Observations,Pain - Opioid 24 Hour Morphine Eq,7,70328
Preoperative Observations,Pain - Opioid Medications,7,70329
Preoperative Observations,General - Proposed Operation,7,70331
Preoperative Observations,General  - Surgery Admit Type,7,70332
Preoperative Observations,General  - Surgery Date,7,70333
Preoperative Observations,General  - Surgical Diagnosis,7,70334
Preoperative Observations,General - PONV Risk Factors,7,70338
Preoperative Observations,General - PONV Risk Total Score,7,70339
Preoperative Observations,Assessment and Plan - Preop Consult,7,70340
Preoperative Observations,Assessment and Plan - Preop Meds Needed,7,70341
Preoperative Observations,Rheumatologic - Other,7,70342
Preoperative Observations,Rheumatologic - Lupus,7,70343
Preoperative Observations,Rheumatologic - Rheumatoid Arthritis,7,70344
Preoperative Observations,Musculoskeletal - Arthritis (Unspecified),7,70345
Preoperative Observations,Studies - Cath date,7,70400
Preoperative Observations,Studies - Cath Interpretation,7,70401
Preoperative Observations,Studies - CXR date,7,70402
Preoperative Observations,Studies - CXR Interpretation,7,70403
Preoperative Observations,Studies - ECHO date,7,70404
Preoperative Observations,Studies - ECHO Interpretation,7,70405
Preoperative Observations,Studies - EKG date,7,70406
Preoperative Observations,Studies - EKG Interpretation,7,70407
Preoperative Observations,Studies - Labs Interpretation,7,70408
Preoperative Observations,Studies - Other date,7,70409
Preoperative Observations,Studies - Other Interpretation,7,70410
Preoperative Observations,Studies - PFT date,7,70411
Preoperative Observations,Studies - PFT Interpretation,7,70412
Preoperative Observations,General - Past Medical History (not categorized),7,70413
Preoperative Observations,General - Preoperative evaluation date/time,7,70414
Preoperative Observations,Obstetrics / gyn - freetext comment,7,70415
Preoperative Observations,Assessment and Plan - Airway plan,7,70416
Preoperative Observations,Pain - Preoperative Pain Score with movement (Visual Analog Scale),7,70417
Preoperative Observations,General - Sensory Limitations,7,70418
Preoperative Observations,General - Beta Blocker Contraindications,7,70419
Preoperative Observations,Assessment and Plan - Discharge Planning,7,70420
Preoperative Observations,Physical Exam - Extremities,7,70421
Preoperative Observations,Assessment and Plan - Surgical Procedure Assessment (SPA) Score ,7,70422
Preoperative Observations,Assessment and Plan - Model for End Stage Liver Disease (MELD) Score,7,70423
Preoperative Observations,Pain - Current Preoperative Pain Score (Visual Analog Scale),7,71000
Preoperative Observations,Recommended Antibiotic Dose,7,71010
Preoperative Observations,General - Ophthalmologic History,7,71020
Preoperative Observations,CPT Code,7,71030
Preoperative Observations,ICD-9 Code,7,71040
Preoperative Observations,Glasgow Coma Scale (GCS),7,71050
Preoperative Observations,General - Dental History,7,71060
Preoperative Observations,General - Dermatologic History,7,71070
Preoperative Observations,General - Medications Detail - Dose (numerical),7,71080
Preoperative Observations,General - Medications Detail - Dose (unit of measure),7,71081
Preoperative Observations,General - Medications Detail - Route of Administration,7,71082
Preoperative Observations,General - Medications Detail - Frequency,7,71083
Preoperative Observations,General - Medications Detail - Scheduled vs PRN,7,71084
Preoperative Observations,History - Social History - Tobacco Details Pack Years,7,71100
Preoperative Observations,History - Social History - Tobacco Details Current vs Past,7,71110
Procedure Room Types,Unknown procedure room type,8,20000
Procedure Room Types,Other procedure room type,8,20001
Procedure Room Types,Acute care hospital - mixed use operating room,8,20002
Procedure Room Types,Acute care hospital - outpatient operating room,8,20003
Procedure Room Types,Acute care hospital - minor procedure room,8,20004
Procedure Room Types,Acute care hospital - remote interventional radiology procedure room,8,20005
Procedure Room Types,Acute care hospital - remote diagnostic radiology procedure room,8,20006
Procedure Room Types,Acute care hospital - remote minor procedure room,8,20007
Procedure Room Types,Acute care hospital - intensive care unit procedure,8,20008
Procedure Room Types,Attached ambulatory surgery center - outpatient operating room,8,20009
Procedure Room Types,Attached ambulatory surgery center - minor procedure room,8,20010
Procedure Room Types,Attached ambulatory surgery center - remote minor procedure room,8,20011
Procedure Room Types,Freestanding ambulatory surgery center - outpatient operating room,8,20012
Procedure Room Types,Freestanding ambulatory surgery center - minor procedure room,8,20013
Procedure Room Types,Freestanding ambulatory surgery center - remote minor procedure room,8,20014
Procedure Room Types,Office based anesthesia operating room,8,20015
Procedure Room Types,Pediatric acute care hospital - mixed use operating room,8,20016
Procedure Room Types,Pediatric acute care hospital - outpatient operating room,8,20017
Procedure Room Types,Pediatric acute care hospital - minor procedure room,8,20018
Procedure Room Types,Pediatric acute care hospital - remote interventional radiology procedure room,8,20019
Procedure Room Types,Pediatric acute care hospital - remote diagnostic radiology procedure room,8,20020
Procedure Room Types,Pediatric acute care hospital - remote minor procedure room,8,20021
Procedure Room Types,Pediatric acute care hospital - intensive care unit procedure,8,20022
Procedure Room Types,Obstetrics - labor and delivery room,8,20023
Procedure Room Types,Obstetrics - operating room,8,20024
Outcome Observations,Intraoperative observed clinical event,9,90000
Outcome Observations,Intraoperative observed quality assurance event,9,90001
Outcome Observations,Postoperative visit patient pain score,9,90002
Outcome Observations,Postoperative visit patient satisfaction score,9,90003
Outcome Observations,Postoperative visit date / time,9,90004
Outcome Observations,Postoperative visit observed clinical events,9,90005
Outcome Observations,PACU observed clinical event,9,90006
Outcome Observations,Actual procedure performed,9,90100
Outcome Observations,Post-procedure diagnosis,9,90101
Outcome Observations,CPOM measure Death,9,90200
Outcome Observations,CPOM measure Cardiac arrest,9,90201
Outcome Observations,CPOM measure Myocardial ischemia,9,90202
Outcome Observations,CPOM measure Anaphylaxis,9,90203
Outcome Observations,CPOM measure Malignant hyperthermia,9,90204
Outcome Observations,CPOM measure Transfusion reaction,9,90205
Outcome Observations,"CPOM measure Stroke, cerebro-vascular accident, or coma",9,90206
Outcome Observations,CPOM measure Visual loss,9,90207
Outcome Observations,CPOM measure Operation on incorrect site,9,90208
Outcome Observations,CPOM measure Operaton on incorrect patient,9,90209
Outcome Observations,CPOM measure Incorrect procedure,9,90210
Outcome Observations,CPOM measure Medication error,9,90211
Outcome Observations,CPOM measure Unplanned ICU admission,9,90212
Outcome Observations,CPOM measure Intraoperative awareness,9,90213
Outcome Observations,CPOM measure Unrecognized difficult airway,9,90214
Outcome Observations,CPOM measure Reintubation,9,90215
Outcome Observations,CPOM measure Dental trauma,9,90216
Outcome Observations,CPOM measure Perioperative aspiration,9,90217
Outcome Observations,CPOM measure Vascular access complication,9,90218
Outcome Observations,CPOM measure Pneumothorax after vascular access or regional anesthesia,9,90219
Outcome Observations,CPOM measure Infection following epidural or spinal anesthesia,9,90220
Outcome Observations,CPOM measure Epidural hematoma following spinal or epidural anesthesia,9,90221
Outcome Observations,CPOM measure High spinal,9,90222
Outcome Observations,CPOM measure Postdural puncture headache,9,90223
Outcome Observations,CPOM measure Systemic local anesthetic toxicity,9,90224
Outcome Observations,CPOM measure Neurologic deficit following regional anesthesia,9,90225
Outcome Observations,CPOM measure Infection following peripheral nerve block,9,90226
Outcome Observations,Intraoperative - Airway Injury,9,90300
Outcome Observations,Intraoperative - Airway Obstruction,9,90301
Outcome Observations,Intraoperative - Anaphylaxis,9,90302
Outcome Observations,Intraoperative - Aspiration,9,90303
Outcome Observations,Intraoperative - Bronchospasm,9,90304
Outcome Observations,Intraoperative - Burn,9,90305
Outcome Observations,Intraoperative - Cardiac Arrest,9,90306
Outcome Observations,Intraoperative - New central nervous system deficit,9,90307
Outcome Observations,Coagulopathy,9,90308
Outcome Observations,Could not intubate,9,90309
Outcome Observations,Difficult intubation,9,90310
Outcome Observations,Death,9,90311
Outcome Observations,Cardiac arrest,9,90312
Outcome Observations,Dental injury,9,90313
Outcome Observations,Adverse Drug reaction,9,90314
Outcome Observations,Dysrhythmia,9,90315
Outcome Observations,Emergency Surgical Airway,9,90316
Outcome Observations,Esophageal intubation,9,90317
Outcome Observations,Failed / inadequate block,9,90318
Outcome Observations,Failed / inadequate neuraxial technique,9,90319
Outcome Observations,High spinal,9,90320
Outcome Observations,Infiltrated intravenous access,9,90321
Outcome Observations,Intraoperative awareness,9,90322
Outcome Observations,Laryngospasm,9,90323
Outcome Observations,Laryngeal mask airway inadequacy,9,90324
Outcome Observations,Malignant hyperthermai,9,90325
Outcome Observations,Ocular injury,9,90326
Outcome Observations,Peripheral nerve injury,9,90327
Outcome Observations,Pneumothorax,9,90328
Outcome Observations,Prolonged neuromuscular relaxation,9,90329
Outcome Observations,Reintubation,9,90330
Outcome Observations,Respiratory arrest during regional or sedation,9,90331
Outcome Observations,Seizure,9,90332
Outcome Observations,Skin / Limb / Joint injury,9,90333
Outcome Observations,Transfusion reaction,9,90334
Outcome Observations,Unplanned extubation,9,90335
Outcome Observations,Categorized Event - Cardiovascular,9,90336
Outcome Observations,Categorized Event - Neurologic (CNS or PNS),9,90337
Outcome Observations,Categorized Event - Regional,9,90338
Outcome Observations,Categorized Event - Renal / Urinary,9,90339
Outcome Observations,Categorized Event - Obstetric ,9,90340
Outcome Observations,Categorized Event - Medication,9,90341
Outcome Observations,Postoperative visit vital signs - BP Sys,9,90342
Outcome Observations,Postoperative visit vital signs - BP Dias,9,90343
Outcome Observations,Postoperative visit vital signs - Heart Rate,9,90344
Outcome Observations,Postoperative visit vital signs - Respiratory Rate,9,90345
Outcome Observations,Postoperative visit vital signs - SpO2 %,9,90346
Outcome Observations,Postoperative visit vital signs - Temperature (C),9,90347
Outcome Observations,Postoperative visit vital signs - Temperature (F),9,90348
Outcome Observations,Postoperative visit vital signs - Temperature (unspecified scale),9,90349
Outcome Observations,Postoperative visit physical exam level of consciousness,9,90350
Outcome Observations,Postoperative visit vital signs - Oxygen supplementation / Resp Assist,9,90351
Outcome Observations,Event treated with,9,90352
Outcome Observations,Event root cause,9,90353
Outcome Observations,Categorized Event - Airway,9,90354
Outcome Observations,Event Comment,9,90355
Outcome Observations,Postoperative Visit Comment,9,90356
Outcome Observations,Categorized Event - Equipment,9,90357
Outcome Observations,Categorized Event - Respiratory,9,90358
Outcome Observations,"Categorized Event - Other, not listed",9,90359
Outcome Observations,Unplanned Admission,9,90360
Outcome Observations,Case cancellation,9,90361
Outcome Observations,Postoperative Nausea and/or vomiting,9,90371
Intraoperative Medications (Administered Mixtures),ABCIXIMAB,10,10005
Intraoperative Medications (Administered Mixtures),ACEBUTOLOL,10,10006
Intraoperative Medications (Administered Mixtures),ACETAMINOPHEN,10,10007
Intraoperative Medications (Administered Mixtures),BUPIVACAINE W/ HYDROMORPHONE 0.1% / UNSPECIFIED,10,10008
Intraoperative Medications (Administered Mixtures),ACETAMINOPHEN/BUTALBITAL/CAFFEINE 325/50/60,10,10009
Intraoperative Medications (Administered Mixtures),ACETAZOLAMIDE,10,10010
Intraoperative Medications (Administered Mixtures),ACETIC ACID 5%,10,10011
Intraoperative Medications (Administered Mixtures),ACETYLCYSTEINE 10%,10,10012
Intraoperative Medications (Administered Mixtures),ACETYLCYSTEINE 20%,10,10013
Intraoperative Medications (Administered Mixtures),ADENOSINE,10,10014
Intraoperative Medications (Administered Mixtures),FLUTICASONE / SALMETEROL 250/50,10,10015
Intraoperative Medications (Administered Mixtures),FACTOR VIII,10,10016
Intraoperative Medications (Administered Mixtures),ALBUTEROL,10,10019
Intraoperative Medications (Administered Mixtures),ALFENTANIL,10,10020
Intraoperative Medications (Administered Mixtures),ALPROSTADIL,10,10021
Intraoperative Medications (Administered Mixtures),ALTEPLASE,10,10022
Intraoperative Medications (Administered Mixtures),AMIKACIN,10,10023
Intraoperative Medications (Administered Mixtures),AMINOCAPROIC ACID,10,10024
Intraoperative Medications (Administered Mixtures),AMINOPHYLLINE,10,10025
Intraoperative Medications (Administered Mixtures),AMIODARONE,10,10026
Intraoperative Medications (Administered Mixtures),AMITRIPTYLINE,10,10027
Intraoperative Medications (Administered Mixtures),AMLODIPINE,10,10028
Intraoperative Medications (Administered Mixtures),AMOXICILLIN,10,10029
Intraoperative Medications (Administered Mixtures),AMOXICILLIN/CLAVULANATE,10,10030
Intraoperative Medications (Administered Mixtures),AMPHOTERICIN B,10,10031
Intraoperative Medications (Administered Mixtures),AMPICILLIN,10,10032
Intraoperative Medications (Administered Mixtures),AMPICILLIN/SULBACTAM,10,10033
Intraoperative Medications (Administered Mixtures),APRACLONIDINE 1%,10,10034
Intraoperative Medications (Administered Mixtures),APREPITANT,10,10035
Intraoperative Medications (Administered Mixtures),APROTININ,10,10036
Intraoperative Medications (Administered Mixtures),ARGATROBAN,10,10037
Intraoperative Medications (Administered Mixtures),ARIPIPRAZOLE,10,10038
Intraoperative Medications (Administered Mixtures),ASCORBIC ACID,10,10039
Intraoperative Medications (Administered Mixtures),ASPIRIN,10,10040
Intraoperative Medications (Administered Mixtures),ASPIRIN/ACETAMINOPHEN/CAFFEINE 250/250/65,10,10041
Intraoperative Medications (Administered Mixtures),ATENOLOL,10,10042
Intraoperative Medications (Administered Mixtures),ATRACURIUM,10,10043
Intraoperative Medications (Administered Mixtures),ATROPINE,10,10044
Intraoperative Medications (Administered Mixtures),ATROPINE 1%,10,10045
Intraoperative Medications (Administered Mixtures),ATROPINE-EDROPHONIUM,10,10046
Intraoperative Medications (Administered Mixtures),AZATHIOPRINE,10,10047
Intraoperative Medications (Administered Mixtures),AZITHROMYCIN,10,10048
Intraoperative Medications (Administered Mixtures),AZTREONAM,10,10049
Intraoperative Medications (Administered Mixtures),BACITRACIN,10,10050
Intraoperative Medications (Administered Mixtures),BACITRACIN/NEOMYCIN/POLYMYXIN B,10,10051
Intraoperative Medications (Administered Mixtures),BACITRACIN/POLY B,10,10052
Intraoperative Medications (Administered Mixtures),BACLOFEN,10,10053
Intraoperative Medications (Administered Mixtures),BASILIXIMAB,10,10054
Intraoperative Medications (Administered Mixtures),BENAZEPRIL,10,10055
Intraoperative Medications (Administered Mixtures),FACTOR IX HUMAN RECOMBINATE,10,10056
Intraoperative Medications (Administered Mixtures),BENZOCAINE 20%,10,10057
Intraoperative Medications (Administered Mixtures),BENZTROPINE,10,10058
Intraoperative Medications (Administered Mixtures),BETAMETHASONE,10,10059
Intraoperative Medications (Administered Mixtures),BISACODYL,10,10060
Intraoperative Medications (Administered Mixtures),BISMUTH SUBSALICYLATE 1.75%,10,10061
Intraoperative Medications (Administered Mixtures),BISOPROLOL,10,10062
Intraoperative Medications (Administered Mixtures),BOTULINUM TOXIN TYPE A,10,10063
Intraoperative Medications (Administered Mixtures),BRETYLIUM,10,10064
Intraoperative Medications (Administered Mixtures),BALANCED SALT SOLUTION 0.17%,10,10065
Intraoperative Medications (Administered Mixtures),BUDESONIDE,10,10066
Intraoperative Medications (Administered Mixtures),BUMETANIDE,10,10067
Intraoperative Medications (Administered Mixtures),BUPIVACAINE 0.0625%,10,10068
Intraoperative Medications (Administered Mixtures),BUPIVACAINE 0.125%,10,10069
Intraoperative Medications (Administered Mixtures),BUPIVACAINE 0.25%,10,10070
Intraoperative Medications (Administered Mixtures),BUPIVACAINE 0.50%,10,10071
Intraoperative Medications (Administered Mixtures),BUPIVACAINE 0.75%,10,10072
Intraoperative Medications (Administered Mixtures),"BUPIVACAINE W/ EPINEPHRINE 0.375% / 1:400,000",10,10073
Intraoperative Medications (Administered Mixtures),"BUPIVACAINE W/ EPINEPHRINE 0.5% / 1:200,000",10,10074
Intraoperative Medications (Administered Mixtures),"BUPIVACAINE W/ EPINEPHRINE 0.5% / 1:400,000",10,10075
Intraoperative Medications (Administered Mixtures),BUPIVACAINE W/ EPINEPHRINE 0.50%,10,10076
Intraoperative Medications (Administered Mixtures),BUPIVACAINE W/ FENTANYL 0.0625% / 3mcg/ml,10,10077
Intraoperative Medications (Administered Mixtures),BUPIVACAINE W/ EPINEPHRINE 0.25% / UNSPECIFIED ,10,10078
Intraoperative Medications (Administered Mixtures),BUPIVACAINE W/ FENTANYL 0.08% / 2 MCG/ML,10,10079
Intraoperative Medications (Administered Mixtures),BUPIVACAINE W/ FENTANYL 0.125% / 2 MCG/ML,10,10080
Intraoperative Medications (Administered Mixtures),BUPIVACAINE W/ FENTANYL 0.125% / 3 MCG/ML,10,10081
Intraoperative Medications (Administered Mixtures),BUPIVACAINE W/ HYDROMORPHONE 0.0625% / 5mcg/ml,10,10082
Intraoperative Medications (Administered Mixtures),BUPIVACAINE W/ HYDROMORPHONE 0.0625% /10 mcg/ml,10,10083
Intraoperative Medications (Administered Mixtures),"BUPIVACAINE W/ EPINEPHRINE 0.25% / 1:200,000",10,10085
Intraoperative Medications (Administered Mixtures),BUPIVACAINE W/ EPINEPHRINE 0.50% / UNSPECIFIED ,10,10086
Intraoperative Medications (Administered Mixtures),BUPROPION SR,10,10087
Intraoperative Medications (Administered Mixtures),BUPROPION XL,10,10088
Intraoperative Medications (Administered Mixtures),BUTORPHANOL,10,10089
Intraoperative Medications (Administered Mixtures),CAFFEINE CITRATE,10,10090
Intraoperative Medications (Administered Mixtures),CAFFEINE/SODIUM BENZOATE,10,10091
Intraoperative Medications (Administered Mixtures),CALCITRIOL,10,10092
Intraoperative Medications (Administered Mixtures),CALCIUM CARBONATE,10,10093
Intraoperative Medications (Administered Mixtures),CALCIUM CHLORIDE,10,10094
Intraoperative Medications (Administered Mixtures),CALCIUM GLUCONATE,10,10095
Intraoperative Medications (Administered Mixtures),CARBACHOL OPHTHALMIC 0.01%,10,10096
Intraoperative Medications (Administered Mixtures),CARBAMAZEPINE,10,10097
Intraoperative Medications (Administered Mixtures),CARBIDOPA/LEVODOPA 10/100,10,10098
Intraoperative Medications (Administered Mixtures),CARBIDOPA/LEVODOPA 25/100,10,10099
Intraoperative Medications (Administered Mixtures),CARBIDOPA/LEVODOPA 25/250,10,10100
Intraoperative Medications (Administered Mixtures),CARBIDOPA/LEVODOPA 50/200,10,10101
Intraoperative Medications (Administered Mixtures),CARBOPROST,10,10102
Intraoperative Medications (Administered Mixtures),CARISOPRODOL,10,10104
Intraoperative Medications (Administered Mixtures),CARVEDILOL,10,10105
Intraoperative Medications (Administered Mixtures),CEFAMANDOLE,10,10106
Intraoperative Medications (Administered Mixtures),CEFAZOLIN,10,10107
Intraoperative Medications (Administered Mixtures),CEFEPIME,10,10108
Intraoperative Medications (Administered Mixtures),CEFOTAXIME,10,10109
Intraoperative Medications (Administered Mixtures),CEFOTETAN,10,10110
Intraoperative Medications (Administered Mixtures),CEFOXITIN,10,10111
Intraoperative Medications (Administered Mixtures),CEFTAZIDIME,10,10112
Intraoperative Medications (Administered Mixtures),CEFTIZOXIME,10,10113
Intraoperative Medications (Administered Mixtures),CEFTRIAXONE,10,10114
Intraoperative Medications (Administered Mixtures),CEFUROXIME,10,10115
Intraoperative Medications (Administered Mixtures),CELECOXIB,10,10116
Intraoperative Medications (Administered Mixtures),CEPHALEXIN,10,10117
Intraoperative Medications (Administered Mixtures),CHLORHEXIDINE ALCOHOL FREE 0.12%,10,10118
Intraoperative Medications (Administered Mixtures),CHLORHEXIDINE TOPICAL 0.12%,10,10119
Intraoperative Medications (Administered Mixtures),CHLOROPROCAINE 1%,10,10120
Intraoperative Medications (Administered Mixtures),CHLOROPROCAINE 2%,10,10121
Intraoperative Medications (Administered Mixtures),CHLOROPROCAINE 3%,10,10122
Intraoperative Medications (Administered Mixtures),CHLORPROMAZINE,10,10123
Intraoperative Medications (Administered Mixtures),CHLORTHALIDONE,10,10124
Intraoperative Medications (Administered Mixtures),CIMETIDINE,10,10125
Intraoperative Medications (Administered Mixtures),CIPROFLOXACIN,10,10126
Intraoperative Medications (Administered Mixtures),CIPROFLOXACIN 0.3%,10,10127
Intraoperative Medications (Administered Mixtures),CIPROFLOXACIN/DEXAMETHASONE 0.3/0.1%,10,10128
Intraoperative Medications (Administered Mixtures),CISATRACURIUM,10,10129
Intraoperative Medications (Administered Mixtures),CITRIC ACID/SODIUM CITRATE,10,10130
Intraoperative Medications (Administered Mixtures),CLINDAMYCIN,10,10131
Intraoperative Medications (Administered Mixtures),CLONIDINE,10,10132
Intraoperative Medications (Administered Mixtures),CLOPIDOGREL,10,10133
Intraoperative Medications (Administered Mixtures),CLOZAPINE,10,10134
Intraoperative Medications (Administered Mixtures),COCAINE 10%,10,10135
Intraoperative Medications (Administered Mixtures),COCAINE 4%,10,10136
Intraoperative Medications (Administered Mixtures),CONJUGATED ESTROGENS,10,10138
Intraoperative Medications (Administered Mixtures),CYCLOBENZAPRINE HYDROCHLORIDE,10,10139
Intraoperative Medications (Administered Mixtures),CYCLOPENTOLATE 1%,10,10140
Intraoperative Medications (Administered Mixtures),CYCLOSPORIN,10,10141
Intraoperative Medications (Administered Mixtures),DACLIZUMAB,10,10142
Intraoperative Medications (Administered Mixtures),DANTROLENE,10,10143
Intraoperative Medications (Administered Mixtures),DAPTOMYCIN,10,10144
Intraoperative Medications (Administered Mixtures),DESMOPRESSIN,10,10145
Intraoperative Medications (Administered Mixtures),DESMOPRESSIN 0.01%,10,10146
Intraoperative Medications (Administered Mixtures),DEXAMETHASONE,10,10147
Intraoperative Medications (Administered Mixtures),DEXAMETHASONE/NEOMYCIN/POLY B,10,10148
Intraoperative Medications (Administered Mixtures),DEXMEDETOMIDINE,10,10149
Intraoperative Medications (Administered Mixtures),DEXTRAN 25,10,10150
Intraoperative Medications (Administered Mixtures),DEXTRAN 40,10,10151
Intraoperative Medications (Administered Mixtures),DEXTROSE,10,10152
